code,latitude,longitude
60190,36.352718,128.697088
60200,35.647361,128.734382
60210,36.436301,129.05708
60220,35.995529,128.401735
60230,36.019052,129.343645
61000,35.238294,128.692397
61010,34.880519,128.621216
61020,35.686526,127.910021
61030,34.972986,128.322246
61040,35.228678,128.889352
61050,34.837688,127.892595
61060,35.503827,128.746604
61070,35.003668,128.064272
61080,35.415544,127.87349
61090,35.335016,129.037057
61100,35.322198,128.26174
61110,35.180313,128.10875
61120,35.544603,128.49233
61130,35.227992,128.681815
61140,34.854426,128.43321
61150,35.067224,127.751271
61160,35.272481,128.40654
61170,35.520541,127.725177
61180,35.566702,128.16587
70000,33.488936,126.500423
80000,37.566953,126.977977
